feature,excl_in_n_genes,min_enr,mean_enr,COL4A1_n_in,COL4A1_n_out,COL4A1_enr,COL4A2_n_in,COL4A2_n_out,COL4A2_enr,COL4A3_n_in,COL4A3_n_out,COL4A3_enr,COL4A4_n_in,COL4A4_n_out,COL4A4_enr,COL4A5_n_in,COL4A5_n_out,COL4A5_enr,COL4A6_n_in,COL4A6_n_out,COL4A6_enr
15735,0,0.41,0.702,613,6181,1.21,250,8696,1.02,118,10310,0.41,109,12550,0.54,450,22775,0.56,126,20558,0.48
16777,0,0.41,1.319,149,1649,1.1,19,1635,0.41,37,583,2.28,15,658,1.42,28,507,1.56,10,683,1.14
30337,0,0.41,0.732,262,3096,1.03,68,4120,0.58,89,3649,0.87,25,3795,0.41,151,5179,0.82,40,4680,0.67
7489,0,0.41,0.648,499,6466,0.94,174,8874,0.69,186,10199,0.65,154,13384,0.72,301,20742,0.41,116,19055,0.48
24350,0,0.41,0.873,16,144,1.35,4,191,0.74,2,106,0.68,1,152,0.41,3,113,0.75,3,179,1.31
4983,0,0.41,0.607,35,639,0.67,12,906,0.47,5,348,0.52,3,271,0.69,1,69,0.41,3,262,0.89
17766,0,0.409,0.998,114,1719,0.81,56,2495,0.79,15,1101,0.49,9,1369,0.41,36,548,1.86,35,1674,1.63
12866,0,0.409,0.833,208,3755,0.68,70,3954,0.63,27,2366,0.41,27,2806,0.6,63,1189,1.5,58,3804,1.19
23518,0,0.409,1.307,25,379,0.8,10,544,0.65,3,263,0.41,6,397,0.94,17,150,3.2,12,510,1.84
27207,0,0.409,1.648,54,233,2.83,16,362,1.56,23,400,2.06,11,487,1.41,16,1106,0.41,15,720,1.63
18763,0,0.409,0.91,859,6985,1.5,307,9965,1.09,246,10165,0.87,190,14445,0.82,409,28280,0.41,209,21054,0.78
18532,0,0.408,1.019,91,1025,1.08,41,1034,1.4,40,1011,1.42,12,1141,0.66,60,1474,1.15,7,1338,0.41
1665,0,0.408,0.964,213,1378,1.88,56,2552,0.77,76,2327,1.17,61,3390,1.12,103,7127,0.41,29,5322,0.43
15388,0,0.408,1.042,64,1070,0.73,16,1385,0.41,13,1046,0.45,26,1503,1.08,27,360,2.12,50,2652,1.47
3106,0,0.408,1.045,92,1424,0.79,39,2118,0.65,11,967,0.41,14,1213,0.72,42,497,2.39,42,2495,1.31
4052,0,0.408,0.956,77,1153,0.81,50,1175,1.5,25,1336,0.67,9,1375,0.41,75,1457,1.45,22,1933,0.89
7995,0,0.408,0.696,184,1954,1.15,95,3060,1.1,45,3958,0.41,48,6330,0.47,181,9350,0.55,52,8062,0.5
6562,0,0.407,0.676,54,1174,0.56,35,1495,0.83,12,1056,0.41,11,1251,0.55,27,704,1.08,9,1113,0.63
30233,0,0.407,0.775,46,631,0.89,19,817,0.82,7,454,0.55,4,612,0.41,19,463,1.16,11,1047,0.82
